,name,protected,repo_name,owner,commit.sha,commit.url
0,branch-0.5,False,spark,apache,5b021ce0990ec675afc6939cc2c06f041c973d17,https://api.github.com/repos/apache/spark/commits/5b021ce0990ec675afc6939cc2c06f041c973d17
1,branch-0.6,False,spark,apache,d46c54c5be5dc62237a0cdf584787d7fe16eab31,https://api.github.com/repos/apache/spark/commits/d46c54c5be5dc62237a0cdf584787d7fe16eab31
2,branch-0.7,False,spark,apache,379567fcdb0d85ca0c5598db70c5a8b9efca552a,https://api.github.com/repos/apache/spark/commits/379567fcdb0d85ca0c5598db70c5a8b9efca552a
3,branch-0.8,False,spark,apache,62b3158b80c14668b16476818d72f1296b06da66,https://api.github.com/repos/apache/spark/commits/62b3158b80c14668b16476818d72f1296b06da66
4,branch-0.9,False,spark,apache,e63783a23f49fafc5d9f464ecfd107d19bd87787,https://api.github.com/repos/apache/spark/commits/e63783a23f49fafc5d9f464ecfd107d19bd87787
5,branch-1.0-jdbc,False,spark,apache,9caf3a9659821a3b4fd4394c9f4134adff9caf88,https://api.github.com/repos/apache/spark/commits/9caf3a9659821a3b4fd4394c9f4134adff9caf88
6,branch-1.0,False,spark,apache,117843f85e8e69a43ffa531716a37c8c05dbabb0,https://api.github.com/repos/apache/spark/commits/117843f85e8e69a43ffa531716a37c8c05dbabb0
7,branch-1.1,False,spark,apache,11ee9d191e26a41a44ff0ca8730a129934942ee7,https://api.github.com/repos/apache/spark/commits/11ee9d191e26a41a44ff0ca8730a129934942ee7
8,branch-1.2,False,spark,apache,307f27e24e17afd92030194a3e6fec312fc19f4f,https://api.github.com/repos/apache/spark/commits/307f27e24e17afd92030194a3e6fec312fc19f4f
9,branch-1.3,False,spark,apache,65cc451c89fd03daed8c315a91d93067ccdc3a5c,https://api.github.com/repos/apache/spark/commits/65cc451c89fd03daed8c315a91d93067ccdc3a5c
10,branch-1.4,False,spark,apache,b2680ae70f18a39b549ece2e6ca9fc8331148c2f,https://api.github.com/repos/apache/spark/commits/b2680ae70f18a39b549ece2e6ca9fc8331148c2f
11,branch-1.5,False,spark,apache,0a04721973c34a3324c41ac68b4f9c203ecedf40,https://api.github.com/repos/apache/spark/commits/0a04721973c34a3324c41ac68b4f9c203ecedf40
12,branch-1.6,False,spark,apache,a233fac0b8bf8229d938a24f2ede2d9d8861c284,https://api.github.com/repos/apache/spark/commits/a233fac0b8bf8229d938a24f2ede2d9d8861c284
13,branch-2.0,False,spark,apache,5ed89ceaf367590f79401abbf9ff7fc66507fe4e,https://api.github.com/repos/apache/spark/commits/5ed89ceaf367590f79401abbf9ff7fc66507fe4e
14,branch-2.1,False,spark,apache,4d2d3d47e00e78893b1ecd5a9a9070adc5243ac9,https://api.github.com/repos/apache/spark/commits/4d2d3d47e00e78893b1ecd5a9a9070adc5243ac9
15,branch-2.2,False,spark,apache,7c7d7f6a878b02ece881266ee538f3e1443aa8c1,https://api.github.com/repos/apache/spark/commits/7c7d7f6a878b02ece881266ee538f3e1443aa8c1
16,branch-2.3,False,spark,apache,75cc3b2da9ee0b51ecf0f13169f2b634e36a60c4,https://api.github.com/repos/apache/spark/commits/75cc3b2da9ee0b51ecf0f13169f2b634e36a60c4
17,branch-2.4,False,spark,apache,db32408f2a9295e4053dd3a1ebf8ae013557ff96,https://api.github.com/repos/apache/spark/commits/db32408f2a9295e4053dd3a1ebf8ae013557ff96
18,master,True,spark,apache,ba3f6330dd2b6054988f1f6f0ffe014fc4969088,https://api.github.com/repos/apache/spark/commits/ba3f6330dd2b6054988f1f6f0ffe014fc4969088
